candidate_id,skill,evidence_text,source_url,source_type
CAND_0001,machine learning,DATA SCIENCE / MACHINE LEARNING / PYTHON DEVELOPMENT / WEB SCRAPING AND AUTOMATION / DATA ANALYTICS / PROMPT ENGINEERING / PROBLEM SOLVING,https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,python,DATA SCIENCE / MACHINE LEARNING / PYTHON DEVELOPMENT / WEB SCRAPING AND AUTOMATION / DATA ANALYTICS / PROMPT ENGINEERING / PROBLEM SOLVING,https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,machine learning,"Artificial Intelligence and Machine Learning graduate with a strong interest in Data Science, Machine Learning, and Data Analytics.",https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,machine learning,✦ Data Science & Machine Learning,https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,python,✦ Python & Data Analytics,https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,sql,✦ SQL & Database Management,https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,power bi,✦ Power BI & Data Visualization,https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,python,Python + Data Science,https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,python,Python & SQL,https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,sql,Python & SQL,https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,machine learning,Machine Learning,https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,excel,Power BI & Excel,https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,power bi,Power BI & Excel,https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,git,Git & GitHub,https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,github,Git & GitHub,https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,machine learning,and Machine Learning from KPR College of Arts Science and Research.,https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,machine learning,"I enjoy transforming data into meaningful insights through Data Science, Machine Learning, and Data Analytics.",https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,excel,"My primary strengths lie in Python, SQL, Excel, Power BI,",https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,power bi,"My primary strengths lie in Python, SQL, Excel, Power BI,",https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,python,"My primary strengths lie in Python, SQL, Excel, Power BI,",https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,sql,"My primary strengths lie in Python, SQL, Excel, Power BI,",https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
CAND_0001,numpy,"and Python libraries including Pandas, NumPy, Matplotlib,",https://varshh-hub.github.io/VARSHA---portfolio,portfolio_page
